"player","team","pos","country","season","tier"
"Alan Curtis","Swansea City","FW","Wales",1978,3
"Steve Death","Reading","GK","England",1978,4
"Gary Peters","Reading","DF","England",1978,4
"Steve Foster","Portsmouth","DF","England",1978,4
"Mick McCarthy","Barnsley","DF","Republic of Ireland",1978,4
"Kevin Moore","Grimsby Town","DF","England",1978,4
"Joe Waters","Grimsby Town","MF","Republic of Ireland",1978,4
"Richie Bowman","Reading","MF","England",1978,4
"Alan Little","Barnsley","MF","England",1978,4
"Alan Cork","Wimbledon","FW","England",1978,4
"Les Bradd","Stockport County","FW","England",1978,4
"Allan Clarke","Barnsley","FW","England",1978,4
"Peter Shilton","Nottingham Forest","GK","England",1979,1
"Viv Anderson","Nottingham Forest","DF","England",1979,1
"Dave Watson","Southampton","DF","England",1979,1
"David O'Leary","Arsenal","DF","Republic of Ireland",1979,1
"Kenny Sansom","Crystal Palace","DF","England",1979,1
"Terry McDermott","Liverpool","MF","England",1979,1
"Liam Brady","Arsenal","MF","Republic of Ireland",1979,1
"Glenn Hoddle","Tottenham Hotspur","MF","England",1979,1
"Kenny Dalglish","Liverpool","FW","Scotland",1979,1
"David Johnson","Liverpool","FW","England",1979,1
"Garry Birtles","Nottingham Forest","FW","England",1979,1
"Phil Parkes","Queens Park Rangers","GK","England",1979,2
"Kirk Stephens","Luton Town","DF","England",1979,2
"Colin Todd","Birmingham City","DF","England",1979,2
"Billy Bonds","West Ham United","DF","England",1979,2
"Mark Dennis","Birmingham City","DF","England",1979,2
"Archie Gemmill","Birmingham City","MF","Scotland",1979,2
"Trevor Brooking","West Ham United","MF","England",1979,2
"Alan Devonshire","West Ham United","MF","England",1979,2
"Clive Allen","Queens Park Rangers","FW","England",1979,2
"Peter Withe","Newcastle United","FW","England",1979,2
"David Moss","Luton Town","FW","England",1979,2
"John Jackson","Millwall","GK","England",1979,3
"Gerry Forrest","Rotherham United","DF","England",1979,3
"Bill Green","Chesterfield","DF","England",1979,3
"Mark Smith","Sheffield Wednesday","DF","England",1979,3
"Kevin Moore","Grimsby Town","DF","England",1979,3
"Alejandro Sabella","Sheffield United","MF","Argentina",1979,3
"Joe Waters","Grimsby Town","MF","Republic of Ireland",1979,3
"Ray McHale","Swindon Town","MF","England",1979,3
"Andy Rowland","Swindon Town","FW","England",1979,3
"Alan Mayes","Swindon Town","FW","England",1979,3
"Terry Curran","Sheffield Wednesday","FW","England",1979,3
"John Turner","Torquay United","GK","England",1979,4
"Malcolm Brown","Huddersfield Town","DF","England",1979,4
"Keith Oakes","Newport County","DF","England",1979,4
"Steve Baines","Bradford City","DF","England",1979,4
"Joe Hinnigan","Wigan Athletic","DF","England",1979,4
"Joe Laidlaw","Portsmouth","MF","England",1979,4
"Murray Brodie","Aldershot","MF","Scotland",1979,4
"Terry Brisley","Portsmouth","MF","England",1979,4
"Alan Buckley","Walsall","FW","England",1979,4
"Don Penn","Walsall","FW","England",1979,4
"Ian Robins","Huddersfield Town","FW","England",1979,4
"Peter Shilton","Nottingham Forest","GK","England",1980,1
"Kenny Swain","Aston Villa","DF","England",1980,1
"Russell Osman","Ipswich Town","DF","England",1980,1
"Allan Evans","Aston Villa","DF","Scotland",1980,1
"Kenny Sansom","Arsenal","DF","England",1980,1
"Frans Thijssen","Ipswich Town","MF","Netherlands",1980,1
"John Wark","Ipswich Town","MF","Scotland",1980,1
"Graeme Souness","Liverpool","MF","Scotland",1980,1
"Paul Mariner","Ipswich Town","FW","England",1980,1
"Kenny Dalglish","Liverpool","FW","Scotland",1980,1
"Gary Shaw","Aston Villa","FW","England",1980,1
"Phil Parkes","West Ham United","GK","England",1980,2
"Ray Stewart","West Ham United","DF","Scotland",1980,2
"Alvin Martin","West Ham United","DF","England",1980,2
"Billy Bonds","West Ham United","DF","England",1980,2
"Ray O'Brien","Notts County","DF","Republic of Ireland",1980,2
"Trevor Brooking","West Ham United","MF","England",1980,2
"Tony Currie","Queens Park Rangers","MF","England",1980,2
"Alan Devonshire","West Ham United","MF","England",1980,2
"Paul Goddard","West Ham United","FW","England",1980,2
"David Cross","West Ham United","FW","England",1980,2
"Terry Curran","Sheffield Wednesday","FW","England",1980,2
"Nicky Johns","Charlton Athletic","GK","England",1980,3
"Malcolm Brown","Huddersfield Town","DF","England",1980,3
"Ian Evans","Barnsley","DF","Wales",1980,3
"Mick McCarthy","Barnsley","DF","Republic of Ireland",1980,3
"John Breckin","Rotherham United","DF","England",1980,3
"Ronnie Glavin","Barnsley","MF","Scotland",1980,3
"Alan Birch","Chesterfield","MF","England",1980,3
"Danny Wilson","Chesterfield","MF","Northern Ireland",1980,3
"David Kemp","Plymouth Argyle","FW","England",1980,3
"Derek Hales","Charlton Athletic","FW","England",1980,3
"Tony Kellow","Exeter City","FW","England",1980,3
"Mervyn Cawston","Southend United","GK","England",1980,4
"Ces Podd","Bradford City","DF","Saint Kitts and Nevis",1980,4
"Trevor Peake","Lincoln City","DF","England",1980,4
"Dave Cusack","Southend United","DF","England",1980,4
"Steve Sherlock","Stockport County","DF","England",1980,4
"Billy Kellock","Peterborough United","MF","Scotland",1980,4
"Alan Little","Doncaster Rovers","MF","England",1980,4
"Anton Otulakowski","Southend United","MF","England",1980,4
"Robbie Cooke","Peterborough United","FW","England",1980,4
"Derek Spence","Southend United","FW","Northern Ireland",1980,4
"Steve Phillips","Northampton Town","FW","England",1980,4
"Peter Shilton","Nottingham Forest","GK","England",1981,1
"Kenny Swain","Aston Villa","DF","England",1981,1
"David O'Leary","Arsenal","DF","Republic of Ireland",1981,1
"Alan Hansen","Liverpool","DF","Scotland",1981,1
"Kenny Sansom","Arsenal","DF","England",1981,1
"Graeme Souness","Liverpool","MF","Scotland",1981,1
"Glenn Hoddle","Tottenham Hotspur","MF","England",1981,1
"Bryan Robson","Manchester United","MF","England",1981,1
"Trevor Francis","Manchester City","FW","England",1981,1
"Kevin Keegan","Southampton","FW","England",1981,1
