"player","team","pos","country","season","tier"
"Andy Robinson","Swansea City","MF","England",2007,3
"Ferrie Bodde","Swansea City","MF","Netherlands",2007,3
"Richie Wellens","Doncaster Rovers","MF","England",2007,3
"Kris Commons","Nottingham Forest","MF","Scotland",2007,3
"Jermaine Beckford","Leeds United","FW","England",2007,3
"Jason Scotland","Swansea City","FW","Trinidad and Tobago",2007,3
"Joe Lewis","Peterborough United[nb 5]","GK","England",2007,4
"Craig Pead","Brentford","DF","England",2007,4
"Steve Foster","Darlington","DF","England",2007,4
"Danny Swailes","Milton Keynes Dons","DF","England",2007,4
"Dean Lewington","Milton Keynes Dons","DF","England",2007,4
"Jason Puncheon","Barnet","MF","England",2007,4
"Keith Andrews","Milton Keynes Dons","MF","Republic of Ireland",2007,4
"Lloyd Dyer","Milton Keynes Dons","MF","England",2007,4
"George Boyd","Peterborough United","MF","Scotland",2007,4
"Jack Lester","Chesterfield","FW","England",2007,4
"Aaron McLean","Peterborough United","FW","England",2007,4
"Edwin van der Sar","Manchester United","GK","Netherlands",2008,1
"Glen Johnson","Portsmouth","DF","England",2008,1
"Rio Ferdinand","Manchester United","DF","England",2008,1
"Nemanja Vidic","Manchester United","DF","Serbia",2008,1
"Patrice Evra","Manchester United","DF","France",2008,1
"Cristiano Ronaldo","Manchester United","MF","Portugal",2008,1
"Steven Gerrard","Liverpool","MF","England",2008,1
"Ryan Giggs","Manchester United","MF","Wales",2008,1
"Ashley Young","Aston Villa","MF","England",2008,1
"Nicolas Anelka","Chelsea","FW","France",2008,1
"Fernando Torres","Liverpool","FW","Spain",2008,1
"Keiren Westwood","Coventry City","GK","Republic of Ireland",2008,2
"Kyle Naughton","Sheffield United","DF","England",2008,2
"Roger Johnson","Cardiff City","DF","England",2008,2
"Richard Stearman","Wolverhampton Wanderers","DF","England",2008,2
"Danny Fox","Coventry City","DF","Scotland",2008,2
"Michael Kightly","Wolverhampton Wanderers","MF","England",2008,2
"Joe Ledley","Cardiff City","MF","Wales",2008,2
"Jordi Gómez","Swansea City","MF","Spain",2008,2
"Stephen Hunt","Reading","MF","Republic of Ireland",2008,2
"Sylvan Ebanks-Blake","Wolverhampton Wanderers","FW","England",2008,2
"Jason Scotland","Swansea City","FW","Trinidad and Tobago",2008,2
"Joe Murphy","Scunthorpe United","GK","Republic of Ireland",2008,3
"Neal Eardley","Oldham Athletic","DF","Wales",2008,3
"Jack Hobbs","Leicester City","DF","England",2008,3
"Sean O'Hanlon","Milton Keynes Dons","DF","England",2008,3
"Dean Lewington","Milton Keynes Dons","DF","England",2008,3
"Fabian Delph","Leeds United","MF","England",2008,3
"Matt Oakley","Leicester City","MF","England",2008,3
"Chris Taylor","Oldham Athletic","MF","England",2008,3
"George Boyd","Peterborough United","MF","Scotland",2008,3
"Rickie Lambert","Bristol Rovers","FW","England",2008,3
"Matty Fryatt","Leicester City","FW","England",2008,3
"Scott Shearer","Wycombe Wanderers","GK","Scotland",2008,4
"Neil Austin","Darlington","DF","England",2008,4
"David McCracken","Wycombe Wanderers","DF","Scotland",2008,4
"Simon King","Gillingham","DF","England",2008,4
"Tom Kennedy","Rochdale","MF","England",2008,4
"Omar Daley","Bradford City","MF","Jamaica",2008,4
"Dany N'Guessan","Lincoln City","MF","France",2008,4
"Ben Davies","Shrewsbury Town","MF","England",2008,4
"Tommy Doherty","Wycombe Wanderers","MF","Northern Ireland",2008,4
"Grant Holt","Shrewsbury Town","FW","England",2008,4
"Andy Bishop","Bury","FW","England",2008,4
"Joe Hart","Birmingham City","GK","England",2009,1
"Branislav Ivanovic","Chelsea","DF","Serbia",2009,1
"Thomas Vermaelen","Arsenal","DF","Belgium",2009,1
"Richard Dunne","Aston Villa","DF","Republic of Ireland",2009,1
"Patrice Evra","Manchester United","DF","France",2009,1
"Antonio Valencia","Manchester United","MF","Ecuador",2009,1
"Cesc Fàbregas","Arsenal","MF","Spain",2009,1
"Darren Fletcher","Manchester United","MF","Scotland",2009,1
"James Milner","Aston Villa","MF","England",2009,1
"Wayne Rooney","Manchester United","FW","England",2009,1
"Didier Drogba","Chelsea","FW","Ivory Coast",2009,1
"Lee Camp","Nottingham Forest","GK","Northern Ireland",2009,2
"Chris Gunter","Nottingham Forest","DF","Wales",2009,2
"Fabricio Coloccini","Newcastle United","DF","Argentina",2009,2
"Ashley Williams","Swansea City","DF","Wales",2009,2
"José Enrique","Newcastle United","DF","Spain",2009,2
"Graham Dorrans","West Bromwich Albion","MF","Scotland",2009,2
"Peter Whittingham","Cardiff City","MF","England",2009,2
"Kevin Nolan","Newcastle United","MF","England",2009,2
"Charlie Adam","Blackpool","MF","Scotland",2009,2
"Andy Carroll","Newcastle United","FW","England",2009,2
"Michael Chopra","Cardiff City","FW","England",2009,2
"Kelvin Davis","Southampton","GK","England",2009,3
"Frazer Richardson","Charlton Athletic","DF","England",2009,3
"Patrick Kisnorbo","Leeds United","DF","Australia",2009,3
"Gary Doherty","Norwich City","DF","Republic of Ireland",2009,3
"Ian Harte","Carlisle United","DF","Republic of Ireland",2009,3
"Wes Hoolahan *","Norwich City","MF","Republic of Ireland",2009,3
"Jason Puncheon","Southampton[nb 2]","MF","England",2009,3
"Robert Snodgrass","Leeds United","MF","Scotland",2009,3
"Nicky Bailey","Charlton Athletic","MF","England",2009,3
"Rickie Lambert *","Southampton","FW","England",2009,3
"Grant Holt","Norwich City","FW","England",2009,3
"Kasper Schmeichel","Notts County","GK","Denmark",2009,4
"John Brayford","Crewe Alexandra","DF","England",2009,4
"Craig Dawson","Rochdale","DF","England",2009,4
"Ian Sharps","Rotherham United","DF","England",2009,4
"Tom Kennedy ¤","Rochdale","DF","England",2009,4
"Ben Davies ¤","Notts County","MF","England",2009,4
"Stephen Dawson","Bury","MF","Republic of Ireland",2009,4
"Gary Jones","Rochdale","MF","England",2009,4
"Nicky Law","Rotherham United","MF","England",2009,4
"Lee Hughes","Notts County","FW","England",2009,4
"Adam le Fondre","Rotherham United","FW","England",2009,4
"Edwin van der Sar","Manchester United","GK","Netherlands",2010,1
"Bacary Sagna","Arsenal","DF","France",2010,1
"Nemanja Vidic","Manchester United","DF","Serbia",2010,1
"Vincent Kompany","Manchester City","DF","Belgium",2010,1
"Ashley Cole","Chelsea","DF","England",2010,1
"Nani","Manchester United","MF","Portugal",2010,1
"Samir Nasri","Arsenal","MF","France",2010,1
"Jack Wilshere","Arsenal","MF","England",2010,1
"Gareth Bale","Tottenham Hotspur","MF","Wales",2010,1
"Carlos Tevez","Manchester City","FW","Argentina",2010,1
"Dimitar Berbatov","Manchester United","FW","Bulgaria",2010,1
"Paddy Kenny","Queens Park Rangers","GK","Republic of Ireland",2010,2
"Kyle Naughton","Leicester City","DF","England",2010,2
"Ashley Williams","Swansea City","DF","Wales",2010,2
"Wes Morgan","Nottingham Forest","DF","England",2010,2
"Ian Harte","Reading","DF","Republic of Ireland",2010,2
"Adel Taarabt","Queens Park Rangers","MF","Morocco",2010,2
"Andy King","Leicester City","MF","Wales",2010,2
"Wes Hoolahan","Norwich City","MF","Republic of Ireland",2010,2
"Scott Sinclair","Swansea City","MF","England",2010,2
"Danny Graham","Watford","FW","England",2010,2
"Grant Holt","Norwich City","FW","England",2010,2
"Kelvin Davis *","Southampton","GK","England",2010,3
"Iñigo Calderón","Brighton & Hove Albion","DF","Spain",2010,3
"Gordon Greer","Brighton & Hove Albion","DF","Scotland",2010,3
"José Fonte","Southampton","DF","Portugal",2010,3
"Dan Harding","Southampton","DF","England",2010,3
"Anthony Pilkington","Huddersfield Town","MF","Republic of Ireland",2010,3
"Adam Lallana","Southampton","MF","England",2010,3
"Alex Oxlade-Chamberlain","Southampton","MF","England",2010,3
"Elliott Bennett","Brighton & Hove Albion","MF","England",2010,3
"Craig Mackail-Smith","Peterborough United","FW","Scotland",2010,3
"Bradley Wright-Phillips","Charlton Athletic[nb 3]","FW","England",2010,3
"Tommy Lee","Chesterfield","GK","England",2010,4
"Damian Batt","Oxford United","DF","England",2010,4
"Ian Sharps ¤","Shrewsbury Town","DF","England",2010,4
"Guy Branston","Torquay United","DF","England",2010,4
"Joe Skarz","Bury","DF","England",2010,4
"Danny Whitaker","Chesterfield","MF","England",2010,4
"Jimmy Ryan","Accrington Stanley","MF","Republic of Ireland",2010,4
"Nicky Law ¤","Rotherham United","MF","England",2010,4
"Gareth Ainsworth ¤","Wycombe Wanderers","MF","England",2010,4
"Ryan Lowe","Bury","FW","England",2010,4
"Craig Davies","Chesterfield","FW","Wales",2010,4
"Joe Hart","Manchester City","GK","England",2011,1
"Kyle Walker","Tottenham Hotspur","DF","England",2011,1
"Vincent Kompany","Manchester City","DF","Belgium",2011,1
"Fabricio Coloccini","Newcastle United","DF","Argentina",2011,1
"Leighton Baines","Everton","DF","England",2011,1
"David Silva","Manchester City","MF","Spain",2011,1
"Yaya Touré","Manchester City","MF","Ivory Coast",2011,1
"Scott Parker","Tottenham Hotspur","MF","England",2011,1
"Gareth Bale","Tottenham Hotspur","MF","Wales",2011,1
"Robin van Persie","Arsenal","FW","Netherlands",2011,1
"Wayne Rooney","Manchester United","FW","England",2011,1
"Kelvin Davis","Southampton","GK","England",2011,2
"Nathaniel Clyne","Crystal Palace","DF","England",2011,2
"James Tomkins","West Ham United","DF","England",2011,2
"Curtis Davies","Birmingham City","DF","England",2011,2
"Ian Harte","Reading","DF","Republic of Ireland",2011,2
"Adam Lallana","Southampton","MF","England",2011,2
"Peter Whittingham","Cardiff City","MF","England",2011,2
"Mark Noble","West Ham United","MF","England",2011,2
"Matt Phillips","Blackpool","MF","England",2011,2
"Rickie Lambert","Southampton","FW","England",2011,2
"Jay Rodriguez","Burnley","FW","England",2011,2
"Ben Hamer","Charlton Athletic","GK","England",2011,3
"Jack Hunt","Huddersfield Town","DF","England",2011,3
"Michael Morrison","Charlton Athletic","DF","England",2011,3
"Harry Maguire","Sheffield United","DF","England",2011,3
"Rhoys Wiggins","Charlton Athletic","DF","Wales",2011,3
"Johnnie Jackson","Charlton Athletic","MF","England",2011,3
"Stephen Quinn","Sheffield United","MF","Republic of Ireland",2011,3
"Stephen Gleeson","Milton Keynes Dons","MF","Republic of Ireland",2011,3
"Darren Potter","Milton Keynes Dons","MF","Republic of Ireland",2011,3
"Jordan Rhodes","Huddersfield Town","FW","Scotland",2011,3
"Ched Evans","Sheffield United","FW","Wales",2011,3
"Bobby Olejnik","Torquay United","GK","Austria",2011,4
"Paul Caddis","Swindon Town","DF","Scotland",2011,4
"Kyle McFadzean","Crawley Town","DF","England",2011,4
"Ian Sharps ¤","Shrewsbury Town","DF","England",2011,4
"Kevin Nicholson","Torquay United","DF","England",2011,4
"Matt Ritchie","Swindon Town","MF","England",2011,4
"Marlon Pack","Cheltenham Town","MF","England",2011,4
"Eunan O'Kane","Torquay United","MF","Republic of Ireland",2011,4
"Lee Mansell","Torquay United","MF","England",2011,4
"Izale McLeod ¤","Barnet","FW","England",2011,4
"Tyrone Barnett","Crawley Town","FW","England",2011,4
"David de Gea","Manchester United","GK","Spain",2012,1
"Pablo Zabaleta","Manchester City","DF","Argentina",2012,1
"Jan Vertonghen","Tottenham Hotspur","DF","Belgium",2012,1
"Rio Ferdinand","Manchester United","DF","England",2012,1
"Leighton Baines","Everton","DF","England",2012,1
"Gareth Bale","Tottenham Hotspur","MF","Wales",2012,1
"Juan Mata","Chelsea","MF","Spain",2012,1
"Michael Carrick","Manchester United","MF","England",2012,1
"Eden Hazard","Chelsea","MF","Belgium",2012,1
"Robin van Persie","Manchester United","FW","Netherlands",2012,1
"Luis Suárez","Liverpool","FW","Uruguay",2012,1
"Kasper Schmeichel","Leicester City","GK","Denmark",2012,2
"Kieran Trippier","Burnley","DF","England",2012,2
"Wes Morgan","Leicester City","DF","England",2012,2
"Mark Hudson","Cardiff City","DF","England",2012,2
"Wayne Bridge","Brighton & Hove Albion","DF","England",2012,2
"Wilfried Zaha","Crystal Palace","MF","England",2012,2
"Tom Ince","Blackpool","MF","England",2012,2
"Peter Whittingham","Cardiff City","MF","England",2012,2
"Yannick Bolasie","Crystal Palace","MF","Democratic Republic of the Congo",2012,2
"Glenn Murray","Crystal Palace","FW","England",2012,2
"Matej Vydra","Watford","FW","Czech Republic",2012,2
"Wes Foderingham","Swindon Town","GK","England",2012,3
"Simon Francis","Bournemouth","DF","England",2012,3
"Rob Jones","Doncaster Rovers","DF","England",2012,3
"Harry Maguire *","Sheffield United","DF","England",2012,3
"Charlie Daniels","Bournemouth","DF","England",2012,3
"Matt Ritchie","Bournemouth","MF","England",2012,3
"Luke Murphy","Crewe Alexandra","MF","England",2012,3
"Alan Judge","Notts County","MF","Republic of Ireland",2012,3
"David Cotterill","Doncaster Rovers","MF","Wales",2012,3
"Paddy Madden","Yeovil Town","FW","Republic of Ireland",2012,3
"Leon Clarke","Coventry City","FW","England",2012,3
"Stuart Nelson","Gillingham","GK","England",2012,4
"Sean Clohessy","Southend United","DF","England",2012,4
"Adam Barrett ¤","Gillingham","DF","England",2012,4
"Ryan Cresswell","Southend United","DF","England",2012,4
"Joe Martin","Gillingham","DF","England",2012,4
"Jacques Maghoma","Burton Albion","MF","Democratic Republic of the Congo",2012,4
"Marlon Pack ¤","Cheltenham Town","MF","England",2012,4
"Gary Jones ¤","Bradford City","MF","England",2012,4
"Jennison Myrie-Williams","Port Vale","MF","England",2012,4
"Tom Pope","Port Vale","FW","England",2012,4
"Jamie Cureton","Exeter City","FW","England",2012,4
"Petr Cech","Chelsea","GK","Czech Republic",2013,1
"Séamus Coleman","Everton","DF","Republic of Ireland",2013,1
"Gary Cahill","Chelsea","DF","England",2013,1
"Vincent Kompany","Manchester City","DF","Belgium",2013,1
"Luke Shaw","Southampton","DF","England",2013,1
"Adam Lallana","Southampton","MF","England",2013,1
"Steven Gerrard","Liverpool","MF","England",2013,1
"Yaya Touré","Manchester City","MF","Ivory Coast",2013,1
"Eden Hazard","Chelsea","MF","Belgium",2013,1
"Daniel Sturridge","Liverpool","FW","England",2013,1
"Luis Suárez","Liverpool","FW","Uruguay",2013,1
"Kasper Schmeichel","Leicester City","GK","Denmark",2013,2
"Kieran Trippier","Burnley","DF","England",2013,2
"Wes Morgan","Leicester City","DF","England",2013,2
"Jason Shackell","Burnley","DF","England",2013,2
"Aaron Cresswell","Ipswich Town","DF","England",2013,2
"Will Hughes","Derby County","MF","England",2013,2
"Danny Drinkwater","Leicester City","MF","England",2013,2
"Craig Bryson","Derby County","MF","Scotland",2013,2
"Andy Reid","Nottingham Forest","MF","Republic of Ireland",2013,2
"Danny Ings","Burnley","FW","England",2013,2
"Ross McCormack","Leeds United","FW","Scotland",2013,2
"Carl Ikeme","Wolverhampton Wanderers","GK","Nigeria",2013,3
"Sam Ricketts","Wolverhampton Wanderers","DF","Wales",2013,3
"Danny Batth","Wolverhampton Wanderers","DF","England",2013,3
"Harry Maguire *","Sheffield United","DF","England",2013,3
"Jake Bidwell","Brentford","DF","England",2013,3
"Bakary Sako","Wolverhampton Wanderers","MF","Mali",2013,3
"Adam Forshaw","Brentford","MF","England",2013,3
"Kevin McDonald","Wolverhampton Wanderers","MF","Scotland",2013,3
"Ben Pringle","Rotherham United","MF","England",2013,3
"Britt Assombalonga","Peterborough United","FW","Democratic Republic of the Congo",2013,3
"Callum Wilson","Coventry City","FW","England",2013,3
"Tommy Lee ¤","Chesterfield","GK","England",2013,4
"Michael Smith","Bristol Rovers","DF","Northern Ireland",2013,4
"Ian Evatt","Chesterfield","DF","England",2013,4
"Liam Cooper","Chesterfield","DF","Scotland",2013,4
"Michael Rose ¤","Rochdale","DF","England",2013,4
"Ian Henderson","Rochdale","MF","England",2013,4
"John-Joe O'Toole","Bristol Rovers","MF","Republic of Ireland",2013,4
"Antoni Sarcevic","Fleetwood Town","MF","England",2013,4
"Gary Roberts","Chesterfield","MF","England",2013,4
"Sam Winnall","Scunthorpe United","FW","England",2013,4
"Scott Hogan","Rochdale","FW","England",2013,4
"David de Gea","Manchester United","GK","England",2014,1
"Branislav Ivanovic","Chelsea","DF","England",2014,1
"John Terry","Chelsea","DF","England",2014,1
"Gary Cahill","Chelsea","DF","England",2014,1
"Ryan Bertrand","Southampton","DF","England",2014,1
"Alexis Sánchez","Arsenal","MF","England",2014,1
"Nemanja Matic","Chelsea","MF","England",2014,1
"Philippe Coutinho","Liverpool","MF","Germany",2014,1
"Eden Hazard","Chelsea","MF","England",2014,1
"Diego Costa","Chelsea","FW","England",2014,1
"Harry Kane","Tottenham Hotspur","FW","England",2014,1
"Keiren Westwood","Sheffield Wednesday","GK","Republic of Ireland",2014,2
"Simon Francis","Bournemouth","DF","England",2014,2
"Richard Keogh","Derby County","DF","Republic of Ireland",2014,2
"Russell Martin","Norwich City","DF","Scotland",2014,2
"George Friend","Middlesbrough","DF","England",2014,2
"Matt Ritchie","Bournemouth","MF","Scotland",2014,2
"Grant Leadbitter","Middlesbrough","MF","England",2014,2
"Bakary Sako","Wolverhampton Wanderers","MF","Mali",2014,2
"Alex Pritchard","Brentford","MF","England",2014,2
"Daryl Murphy","Ipswich Town","FW","Republic of Ireland",2014,2
"Troy Deeney","Watford","FW","England",2014,2
"Frank Fielding","Bristol City","GK","England",2014,3
"Nathan Byrne","Swindon Town","DF","England",2014,3
"Tom Clarke","Preston North End","DF","England",2014,3
"Aden Flint","Bristol City","DF","England",2014,3
"Joe Bryan","Bristol City","DF","England",2014,3
"Dele Alli","Milton Keynes Dons","MF","England",2014,3
"Luke Freeman","Bristol City","MF","England",2014,3
"Massimo Luongo","Swindon Town","MF","Australia",2014,3
"Korey Smith","Bristol City","MF","England",2014,3
"Joe Garner","Preston North End","FW","England",2014,3
"Eoin Doyle","Chesterfield","FW","Republic of Ireland",2014,3
"Daniel Bentley","Southend United","GK","England",2014,4
"Phil Edwards","Burton Albion","DF","England",2014,4
"Steve McNulty","Luton Town","DF","England",2014,4
"Connor Goldson","Shrewsbury Town","DF","England",2014,4
"Ben Coker","Southend United","DF","England",2014,4
"Ryan Woods","Shrewsbury Town","MF","England",2014,4
"Matt Grimes","Exeter City","MF","England",2014,4
"Jed Wallace","Portsmouth","MF","England",2014,4
"Danny Mayor","Bury","MF","England",2014,4
"Matt Tubbs","Portsmouth","FW","England",2014,4
"Reuben Reid","Plymouth Argyle","FW","England",2014,4
